Node	x	y	qi
1	0	85	14
2	1	98	15
3	22	10	16
4	59	19	18
5	74	57	5
6	64	79	17
7	7	5	18
8	37	8	15
9	0	61	15
10	18	60	20
11	93	60	17
12	76	7	11
13	5	53	15
14	61	36	15
15	60	56	13
16	57	83	17
17	26	28	14
18	64	7	11
19	34	48	13
20	65	90	19
21	81	69	20
22	62	82	21
23	47	54	15
24	68	80	10
25	12	40	12
26	65	60	11
27	81	33	15
28	11	50	19
29	42	56	11
30	61	44	10
31	80	81	12
32	99	77	23
33	97	50	14
34	34	29	10
35	96	66	9
36	37	20	17
37	2	29	9
38	83	24	14
39	99	25	12
40	15	57	10
41	26	2	18
42	33	28	18
43	52	84	16
44	30	10	9
45	64	53	11
46	39	80	12
47	11	9	11
48	0	47	14
49	84	30	18
50	38	56	17
51	78	97	13
52	8	21	15
53	2	36	12
54	61	9	14
55	29	76	15
56	75	53	17
57	55	90	17
58	76	44	14
59	99	19	12
60	39	73	12
61	10	47	15
62	33	56	15
63	84	69	10
64	56	12	14
65	100	80	14
66	29	59	17
67	71	48	16
68	3	35	17
69	73	13	10
70	36	66	15
Competitor: 	57	50	6	63
