Node	x	y	qi
1	53	37	8
2	15	63	10
3	14	56	9
4	95	62	4
5	14	17	8
6	66	55	6
7	75	34	6
8	19	77	6
9	27	100	8
10	100	20	9
11	84	11	6
12	68	44	8
13	31	38	9
14	62	22	4
15	34	42	6
16	53	5	6
17	71	81	8
18	33	87	2
19	93	5	7
20	85	84	8
21	54	61	5
22	96	16	5
23	37	43	7
24	31	46	9
25	25	5	8
26	30	48	11
27	21	35	7
28	29	58	9
29	3	8	12
30	91	39	12
31	14	50	5
32	75	4	11
33	17	67	5
34	59	1	9
35	32	61	6
36	20	11	6
37	67	83	6
38	61	34	3
39	87	82	6
40	68	29	9
41	99	9	9
42	96	19	5
43	43	45	9
44	12	62	8
45	25	24	4
46	92	57	5
47	31	92	7
48	2	94	6
49	21	69	9
50	0	86	1
51	34	77	8
52	55	47	9
53	38	33	4
54	84	43	9
55	28	12	9
56	50	97	5
57	43	0	5
58	20	38	5
59	96	60	4
60	1	74	7
61	99	60	4
62	30	23	6
63	72	66	7
64	91	3	6
65	38	20	6
66	78	2	10
67	16	28	8
68	51	5	8
69	94	67	10
70	32	97	4
71	67	98	6
72	13	70	12
73	8	13	5
74	19	47	9
75	15	96	5
76	17	40	4
77	56	1	9
78	97	19	6
79	64	74	9
80	72	3	9
81	23	27	9
82	68	98	8
83	52	81	6
84	46	16	6
85	69	84	5
86	83	96	3
87	60	36	5
88	20	66	4
89	23	98	5
90	11	89	3
91	97	0	7
92	48	85	3
93	44	20	8
94	17	35	4
95	30	98	8
96	28	69	5
97	30	47	6
98	10	69	4
99	60	63	5
100	39	71	5
101	65	12	5
102	83	28	5
103	84	28	6
104	97	97	6
105	18	78	5
106	0	2	2
107	98	90	6
108	9	67	8
109	22	84	6
110	63	35	3
111	88	4	4
112	69	81	8
113	14	47	10
114	41	94	8
115	61	82	7
116	11	13	8
117	31	44	9
118	91	34	7
119	62	79	9
120	25	88	8
121	45	51	10
122	43	52	7
123	29	100	7
124	45	86	3
125	60	74	6
126	34	28	8
127	86	55	6
128	58	28	4
129	57	46	5
130	69	27	9
131	4	0	9
132	62	8	8
133	76	57	5
134	11	19	7
135	60	5	7
136	7	83	10
137	37	4	5
138	83	27	6
139	74	9	2
140	5	32	8
141	60	51	5
142	22	98	9
143	54	24	7
144	70	3	5
145	74	61	4
146	77	24	4
147	83	26	9
148	39	8	12
149	68	1	8
150	55	55	6
Competitor: 	4	22	149	77
