Node	x	y	qi
1	84	3	10
2	15	13	8
3	97	90	13
4	14	80	9
5	4	48	9
6	21	95	12
7	85	63	11
8	33	57	8
9	9	59	8
10	28	34	8
11	11	48	8
12	82	20	12
13	64	8	10
14	66	63	9
15	84	32	9
16	88	97	4
17	35	43	4
18	17	42	11
19	28	80	12
20	87	40	12
21	36	93	11
22	31	36	8
23	56	35	15
24	87	18	7
25	46	12	8
26	94	1	8
27	55	85	11
28	73	83	12
29	88	8	10
30	8	48	9
31	6	90	10
32	44	41	11
33	72	45	12
34	54	9	17
35	70	32	9
36	78	79	14
37	62	65	6
38	93	57	10
39	41	27	14
40	85	42	11
41	78	61	11
42	69	47	12
43	50	11	14
44	24	39	13
45	96	18	12
46	86	92	7
47	6	2	6
48	7	63	10
49	28	52	12
50	73	1	11
51	13	12	6
52	30	60	13
53	19	44	11
54	100	28	8
55	88	7	8
56	42	85	8
57	22	45	12
58	61	56	4
59	65	42	12
60	28	13	7
61	99	11	10
62	87	41	11
63	91	22	3
64	1	16	14
65	91	18	8
66	23	66	6
67	72	75	8
68	88	0	9
69	55	50	9
70	47	82	11
71	5	45	8
72	30	87	4
73	0	16	9
74	93	91	12
75	7	60	9
76	63	55	14
77	86	22	14
78	58	88	8
79	21	70	10
80	31	64	12
81	11	94	13
82	40	37	12
83	34	69	10
84	90	15	14
85	25	2	12
86	83	49	8
87	87	54	15
88	32	1	12
89	57	90	12
90	5	72	10
91	44	68	5
92	15	16	15
93	34	24	10
94	83	100	18
95	19	91	10
96	7	82	9
97	90	32	8
98	22	33	8
99	46	9	8
100	82	86	5
Competitor: 	3	53	55	27
