Node	x	y	qi
1	54	79	14
2	90	77	11
3	9	78	11
4	31	26	18
5	40	22	21
6	47	29	18
7	82	53	23
8	16	20	15
9	44	7	10
10	65	96	12
11	95	100	18
12	10	11	14
13	87	1	22
14	33	85	12
15	83	12	15
16	100	25	18
17	81	30	14
18	52	56	8
19	34	40	24
20	75	8	12
21	27	71	15
22	78	55	17
23	40	19	21
24	100	96	16
25	14	94	18
26	9	28	16
27	40	27	16
28	87	26	14
29	50	45	13
30	50	10	17
31	71	47	14
32	5	88	18
33	94	90	28
34	14	3	23
35	22	5	19
36	2	81	18
37	72	67	19
38	54	42	16
39	86	79	18
40	28	58	21
41	54	56	16
42	12	74	14
43	52	46	18
44	42	42	20
45	41	38	15
46	88	42	20
47	66	4	17
48	43	18	15
49	7	51	16
50	22	59	23
51	3	58	21
52	46	47	22
53	79	87	10
54	4	75	18
55	22	82	16
56	24	6	18
57	15	70	17
58	9	79	10
59	6	94	14
60	52	57	13
Competitor: 	58	47	43	5
