(NUMBER_COMPETITOR,I,J,K)	(5,20,20,30)
COMPETITORS	5	15	4	19	13
k=0:	5	1	13	12	8	18	19	7	2	3	9	17	14	10	0	11	15	4	6	16
k=1:	2	19	11	10	7	1	0	4	8	9	17	12	16	13	6	14	3	15	18	5
k=2:	0	12	17	9	15	7	2	3	6	16	13	11	8	10	14	18	5	1	4	19
k=3:	4	12	18	17	19	10	13	1	6	8	7	15	14	0	2	9	3	5	16	11
k=4:	17	12	10	4	8	1	11	7	2	6	3	19	0	5	14	15	18	16	13	9
k=5:	2	19	18	12	9	17	6	11	8	5	14	3	0	1	13	16	10	7	15	4
k=6:	17	11	9	6	18	16	1	13	7	8	4	14	10	3	19	15	12	0	2	5
k=7:	5	18	15	19	6	16	2	1	7	12	17	9	0	14	13	8	11	4	10	3
k=8:	7	8	12	11	2	6	3	4	14	10	0	9	18	5	15	17	16	19	1	13
k=9:	1	11	7	3	17	5	16	9	18	14	12	19	0	4	2	13	15	6	8	10
k=10:	4	0	10	11	9	14	3	8	2	17	13	19	7	16	15	1	5	12	18	6
k=11:	17	6	4	14	2	13	15	8	7	16	12	5	3	10	18	11	19	1	9	0
k=12:	13	17	3	6	18	9	1	14	8	7	4	2	10	19	12	16	5	15	0	11
k=13:	5	9	7	16	8	14	4	3	10	17	15	13	19	6	0	12	1	2	11	18
k=14:	5	7	12	11	16	4	10	14	2	1	8	13	19	9	15	17	6	18	3	0
k=15:	11	18	3	4	5	9	7	1	0	15	10	2	14	17	19	13	6	16	8	12
k=16:	14	8	12	0	6	15	7	16	17	11	5	19	18	3	4	13	1	10	2	9
k=17:	6	2	1	10	15	19	0	11	17	13	14	4	7	9	16	12	5	8	3	18
k=18:	13	4	8	3	18	11	9	1	19	12	10	14	0	17	2	6	5	16	7	15
k=19:	11	16	13	4	14	2	0	5	1	19	17	15	6	9	3	18	7	12	10	8
k=20:	18	5	3	16	2	15	7	17	13	6	12	10	9	11	1	14	19	4	8	0
k=21:	14	7	4	11	13	18	6	10	5	0	8	9	17	16	12	1	2	3	15	19
k=22:	12	18	17	10	5	15	0	2	7	11	13	9	3	6	8	16	1	4	19	14
k=23:	1	19	15	7	6	11	0	12	4	14	9	5	10	3	16	18	13	8	2	17
k=24:	3	12	18	15	2	6	17	4	19	5	14	7	0	11	13	8	1	10	9	16
k=25:	13	12	0	9	3	14	1	16	18	7	15	5	19	17	11	4	8	10	2	6
k=26:	9	2	15	18	16	11	4	5	1	12	13	19	6	8	0	3	14	10	7	17
k=27:	10	6	0	8	9	4	1	13	2	16	18	14	15	7	3	12	11	17	19	5
k=28:	9	18	17	0	13	3	8	1	16	6	4	12	5	11	7	15	14	10	2	19
k=29:	5	14	12	13	0	19	18	7	10	8	9	4	6	3	17	2	16	15	11	1
Lambda_0:	0.026143790849673203	0.0457516339869281	0.032679738562091505	0.0392156862745098	0.0196078431372549	0.0392156862745098	0.0457516339869281	0.0457516339869281	0.0457516339869281	0.0457516339869281	0.0196078431372549	0.032679738562091505	0.0196078431372549	0.026143790849673203	0.026143790849673203	0.0392156862745098	0.013071895424836602	0.026143790849673203	0.013071895424836602	0.0392156862745098	0.05228758169934641	0.0457516339869281	0.032679738562091505	0.013071895424836602	0.05228758169934641	0.0457516339869281	0.05228758169934641	0.0392156862745098	0.013071895424836602	0.013071895424836602
Lambda_1:	0.04697986577181208	0.03355704697986577	0.04697986577181208	0.020134228187919462	0.03355704697986577	0.020134228187919462	0.026845637583892617	0.03355704697986577	0.013422818791946308	0.04697986577181208	0.04697986577181208	0.020134228187919462	0.03355704697986577	0.053691275167785234	0.053691275167785234	0.013422818791946308	0.013422818791946308	0.013422818791946308	0.020134228187919462	0.03355704697986577	0.053691275167785234	0.04697986577181208	0.026845637583892617	0.026845637583892617	0.053691275167785234	0.04697986577181208	0.026845637583892617	0.013422818791946308	0.026845637583892617	0.053691275167785234
Lambda_2:	0.026845637583892617	0.026845637583892617	0.026845637583892617	0.04697986577181208	0.03355704697986577	0.020134228187919462	0.013422818791946308	0.013422818791946308	0.020134228187919462	0.040268456375838924	0.053691275167785234	0.053691275167785234	0.053691275167785234	0.04697986577181208	0.040268456375838924	0.040268456375838924	0.013422818791946308	0.020134228187919462	0.026845637583892617	0.03355704697986577	0.026845637583892617	0.040268456375838924	0.020134228187919462	0.026845637583892617	0.04697986577181208	0.026845637583892617	0.020134228187919462	0.040268456375838924	0.053691275167785234	0.04697986577181208
Lambda_3:	0.02158273381294964	0.03597122302158273	0.02158273381294964	0.02877697841726619	0.04316546762589928	0.014388489208633094	0.02158273381294964	0.05755395683453238	0.04316546762589928	0.04316546762589928	0.05755395683453238	0.014388489208633094	0.04316546762589928	0.03597122302158273	0.02877697841726619	0.02877697841726619	0.02877697841726619	0.014388489208633094	0.050359712230215826	0.05755395683453238	0.02158273381294964	0.050359712230215826	0.02877697841726619	0.03597122302158273	0.02877697841726619	0.04316546762589928	0.02158273381294964	0.014388489208633094	0.04316546762589928	0.02158273381294964
