(NUMBER_COMPETITOR,I,J,K)	(5,30,30,200)
COMPETITORS	28	4	12	27	1
k=0:	24	3	15	12	1	16	0	28	8	18	23	21	4	11	25	5	2	6	10	7	27	26	29	9	19	20	22	17	13	14
k=1:	27	4	7	8	5	11	2	3	15	9	21	20	19	1	12	10	16	24	28	22	26	25	6	14	29	18	13	0	23	17
k=2:	17	15	25	4	26	1	9	19	16	24	12	6	29	20	13	28	7	0	11	23	5	22	8	2	27	10	3	14	18	21
k=3:	18	16	2	22	21	10	26	25	14	4	27	9	19	15	7	28	3	0	5	17	8	29	12	6	20	13	1	24	23	11
k=4:	12	29	14	19	9	16	8	2	18	10	23	22	13	20	6	27	21	28	25	4	26	3	17	24	15	11	7	0	1	5
k=5:	17	3	2	4	16	0	25	14	19	20	28	6	10	1	27	21	9	18	29	24	15	22	8	11	23	12	7	13	26	5
k=6:	17	12	2	0	22	29	16	28	19	26	11	15	25	18	10	9	27	14	4	8	5	1	7	20	23	24	21	13	3	6
k=7:	23	12	14	16	10	11	17	4	29	5	13	28	18	24	19	1	15	3	7	9	21	20	22	8	0	27	2	25	26	6
k=8:	15	29	25	27	14	16	22	1	11	23	3	5	19	20	17	4	28	13	12	21	9	2	10	18	7	0	6	24	8	26
k=9:	17	12	2	7	13	20	29	22	9	19	27	10	24	4	25	11	1	21	18	5	14	6	3	28	15	26	0	8	16	23
k=10:	19	1	23	28	14	11	18	22	16	21	29	25	13	5	6	2	27	15	4	12	26	20	24	3	10	7	8	9	17	0
k=11:	17	9	12	7	10	20	27	21	11	29	14	3	5	25	18	0	23	6	13	19	26	28	8	22	24	15	2	16	4	1
k=12:	1	17	13	23	6	16	10	24	2	11	5	15	27	9	28	25	4	22	14	0	8	20	7	26	21	3	29	19	18	12
k=13:	19	14	15	22	12	1	8	7	18	5	23	26	6	20	9	2	10	25	11	13	4	0	28	27	29	16	17	24	3	21
k=14:	8	25	11	27	21	5	29	22	7	12	1	26	9	6	28	19	24	4	18	20	23	14	16	17	0	10	13	2	3	15
k=15:	16	5	0	13	12	24	25	18	22	4	15	10	19	28	23	11	17	3	8	29	1	7	6	20	26	14	9	21	2	27
k=16:	0	27	13	4	14	29	19	23	10	9	7	22	25	26	1	5	15	20	6	3	28	17	24	16	18	11	2	12	21	8
k=17:	18	3	10	26	6	7	24	16	11	25	13	23	20	21	27	8	29	2	9	1	5	14	17	28	4	22	19	15	0	12
k=18:	14	10	25	27	19	6	12	9	26	13	15	16	4	29	21	20	2	28	8	17	1	18	24	5	7	11	3	23	0	22
k=19:	26	25	15	11	27	28	6	7	29	20	17	19	24	21	10	22	1	16	3	18	5	12	8	4	23	14	2	0	13	9
k=20:	26	24	27	17	22	15	1	16	7	18	19	28	25	2	8	23	5	6	11	20	3	13	9	12	14	21	4	10	29	0
k=21:	16	13	14	17	29	21	18	6	4	28	20	25	11	27	15	9	26	8	1	23	10	12	22	2	3	0	5	19	24	7
k=22:	21	29	13	0	22	25	15	8	12	6	27	17	4	18	20	28	14	16	3	2	23	19	7	24	11	5	26	1	9	10
k=23:	4	7	21	24	14	6	15	22	16	11	9	29	12	5	28	10	19	23	25	2	1	26	0	27	17	20	3	13	18	8
k=24:	24	12	19	16	29	15	1	28	18	17	25	2	20	8	10	7	0	27	4	22	5	11	21	14	3	23	9	26	13	6
k=25:	17	15	11	23	12	9	21	10	27	7	24	2	16	8	25	29	28	1	13	20	5	19	4	22	18	26	6	0	14	3
k=26:	6	17	10	21	7	5	19	3	2	1	12	8	25	22	0	26	9	14	27	16	24	13	23	11	15	28	4	29	20	18
k=27:	16	25	2	21	22	1	8	14	24	10	6	23	5	29	28	9	0	4	18	7	27	3	19	26	15	20	17	13	11	12
k=28:	0	13	24	26	3	17	27	22	21	11	9	29	8	5	23	16	15	25	28	4	10	14	6	1	18	19	7	2	12	20
k=29:	4	14	11	3	21	6	5	25	19	7	10	28	15	17	16	24	18	12	26	29	8	1	20	9	13	23	27	2	0	22
k=30:	16	6	9	26	2	14	17	29	4	3	10	5	21	1	24	12	0	20	25	18	27	15	23	11	28	19	8	13	7	22
k=31:	8	22	14	1	5	11	13	15	10	27	2	28	3	6	20	24	19	4	25	18	29	23	16	21	12	9	0	7	17	26
k=32:	10	8	21	26	22	17	4	13	19	11	25	7	24	1	5	18	2	15	3	23	9	14	6	28	20	27	0	12	16	29
k=33:	10	15	2	28	1	25	21	13	11	5	26	9	17	23	12	14	7	20	18	8	3	22	6	19	27	0	24	29	4	16
k=34:	29	11	1	19	0	24	10	4	13	25	14	18	7	6	23	15	22	26	27	9	12	28	3	2	17	8	5	16	21	20
k=35:	2	20	21	22	12	8	17	19	28	7	24	10	3	9	18	23	25	0	11	15	26	14	13	27	16	29	6	5	1	4
k=36:	19	8	11	21	14	28	25	29	5	15	23	2	16	20	6	22	24	18	3	12	7	4	10	0	9	26	17	13	27	1
k=37:	24	6	22	3	15	20	0	16	9	18	2	7	1	14	29	13	4	17	12	21	8	25	11	26	23	19	10	5	27	28
k=38:	8	3	0	26	18	13	29	16	10	25	6	17	2	22	27	12	1	7	21	28	24	5	23	19	11	4	20	14	15	9
k=39:	12	5	14	4	7	24	19	21	1	22	8	0	13	10	23	11	26	17	15	3	2	29	16	20	6	27	28	9	18	25
k=40:	27	4	14	21	24	13	8	29	3	10	17	26	22	6	0	15	25	11	16	12	20	9	1	5	7	28	2	19	23	18
k=41:	1	11	22	24	27	17	6	14	5	13	29	3	9	4	12	26	20	8	28	10	19	15	2	18	16	21	25	7	23	0
k=42:	29	26	9	19	10	21	17	23	24	0	2	6	15	1	20	4	7	8	13	12	5	27	28	16	14	25	22	3	18	11
k=43:	16	11	0	14	22	4	19	13	24	26	18	27	20	10	1	12	6	17	3	5	28	15	23	7	21	29	2	8	9	25
k=44:	28	8	21	16	13	25	14	0	1	19	22	15	9	29	20	24	3	10	4	6	2	18	11	5	26	17	27	12	23	7
k=45:	18	21	2	13	15	3	7	27	19	29	28	5	23	16	17	0	22	11	4	12	20	9	10	14	25	8	26	6	1	24
k=46:	16	1	18	15	25	19	6	4	26	0	12	24	3	20	23	7	2	8	28	10	21	11	13	17	22	29	27	9	5	14
k=47:	6	11	17	15	27	28	13	21	25	10	14	7	22	23	9	3	26	29	4	1	16	20	19	2	12	8	0	24	5	18
k=48:	12	21	26	15	1	29	6	25	2	11	22	18	24	27	19	16	20	7	9	13	28	0	5	8	4	14	23	17	3	10
k=49:	10	24	19	21	5	6	22	7	13	16	28	2	27	23	15	12	3	14	1	17	11	26	29	20	9	25	0	8	18	4
k=50:	11	2	10	23	20	29	14	13	25	4	7	22	12	24	26	18	1	16	15	9	28	8	17	21	19	5	27	3	6	0
k=51:	24	12	4	19	13	11	28	22	16	17	1	15	10	29	5	20	18	9	14	23	26	0	7	8	25	2	27	21	3	6
k=52:	23	29	5	3	20	9	24	8	7	1	0	19	21	12	26	16	13	14	22	25	28	15	10	6	4	2	18	11	17	27
k=53:	20	18	26	2	0	22	16	5	6	4	17	21	13	3	27	19	24	1	9	14	25	29	12	10	15	28	23	8	11	7
k=54:	26	19	14	6	21	0	18	13	15	17	29	20	28	12	4	3	23	27	25	8	16	10	1	22	5	11	2	7	9	24
k=55:	21	28	4	14	0	24	25	15	3	23	10	6	12	2	16	5	7	18	11	22	13	29	9	8	19	17	1	27	26	20
k=56:	2	8	26	1	11	6	19	0	29	17	20	15	14	22	12	16	3	9	13	7	27	24	10	23	28	4	18	21	5	25
k=57:	25	29	6	21	2	15	9	10	8	18	14	12	22	3	17	19	24	7	20	28	1	16	11	0	27	4	13	23	5	26
k=58:	12	3	2	29	22	28	17	13	6	15	9	5	20	14	25	18	0	7	11	27	8	10	21	4	26	24	1	23	16	19
k=59:	14	24	21	12	20	15	29	6	10	26	8	5	13	9	0	27	7	28	25	2	3	1	17	18	11	19	4	23	22	16
k=60:	25	26	5	23	24	14	29	16	0	2	11	8	27	6	12	10	21	13	4	22	19	3	20	28	9	7	1	15	18	17
k=61:	2	13	4	17	8	27	23	6	10	19	1	22	9	7	21	0	15	24	14	11	28	16	3	12	20	18	26	25	5	29
k=62:	15	19	6	2	21	13	14	4	27	22	16	17	1	25	18	28	3	20	9	26	11	12	7	24	23	8	5	29	10	0
k=63:	29	18	1	12	19	28	9	22	14	11	3	0	23	4	20	25	26	17	15	8	27	13	6	5	7	2	21	10	16	24
k=64:	5	18	3	6	28	0	10	11	27	12	14	2	20	22	13	17	26	8	23	21	16	24	15	7	19	29	1	4	25	9
k=65:	9	25	24	28	20	16	21	0	26	17	14	23	19	29	5	15	12	6	7	8	11	18	2	10	22	3	1	13	27	4
k=66:	19	17	24	3	7	11	14	9	8	10	5	27	25	2	29	12	21	0	16	28	22	20	18	23	1	26	13	15	6	4
k=67:	17	6	2	19	14	13	22	23	0	26	7	12	1	25	24	15	4	29	20	21	8	3	11	16	28	10	18	9	5	27
k=68:	16	14	22	20	3	2	11	29	13	19	10	12	8	25	24	26	0	17	18	27	28	6	23	21	1	9	7	4	15	5
k=69:	10	3	21	6	24	23	28	2	0	29	4	9	1	12	11	5	19	26	7	8	25	27	16	13	15	22	20	17	14	18
k=70:	22	24	11	17	3	5	19	27	23	10	15	20	13	25	6	9	14	16	28	1	18	26	0	8	21	2	29	7	4	12
k=71:	24	9	11	23	1	28	18	5	8	21	13	15	7	6	10	12	19	4	2	17	14	29	26	0	16	20	25	3	22	27
k=72:	9	6	2	17	0	22	26	14	23	15	8	3	1	7	25	19	10	28	13	21	29	4	5	16	18	24	12	20	27	11
k=73:	0	23	16	20	27	1	22	28	3	15	4	19	12	26	9	24	6	11	13	14	10	7	5	21	17	25	2	18	8	29
k=74:	16	15	8	4	17	23	29	7	5	20	11	0	25	22	6	3	26	9	27	1	19	18	28	2	12	24	13	14	10	21
k=75:	23	11	5	20	0	8	6	19	26	14	12	10	24	18	7	16	15	1	29	2	9	13	28	21	25	22	27	3	4	17
k=76:	4	10	27	18	1	3	13	6	17	12	16	0	29	24	26	9	2	15	25	7	23	8	21	22	20	28	5	11	19	14
k=77:	9	25	0	29	13	12	28	17	27	7	14	2	10	3	24	8	16	4	15	1	20	23	5	11	18	26	21	19	22	6
k=78:	8	16	28	19	11	3	27	5	29	25	12	0	13	23	21	10	6	4	26	1	9	22	15	24	14	2	17	7	18	20
k=79:	10	24	4	11	7	23	1	6	20	18	21	3	5	9	15	14	8	22	17	25	0	19	26	2	27	29	13	12	16	28
k=80:	25	28	15	18	10	2	1	19	24	8	17	21	13	5	14	12	29	7	6	16	0	11	3	23	22	9	26	4	27	20
k=81:	1	12	17	22	6	8	0	20	7	2	3	4	5	9	21	11	14	25	28	27	26	29	16	19	18	23	15	10	24	13
k=82:	10	5	9	20	7	29	0	21	3	24	6	4	22	2	17	18	23	1	15	8	25	26	12	28	11	19	14	13	16	27
k=83:	19	11	18	22	7	9	8	12	4	24	0	14	20	3	15	27	1	10	13	25	29	6	26	28	21	5	16	2	17	23
k=84:	25	13	4	16	17	10	3	8	5	22	28	23	12	6	2	27	18	24	14	9	19	15	1	21	29	11	0	26	7	20
