(NUMBER_COMPETITOR,I,J,K)	(5,40,40,100)
COMPETITORS	36	10	21	24	32
k=0:	12	36	0	29	3	9	18	15	19	31	13	8	35	25	6	1	37	30	14	17	2	23	39	4	38	21	16	7	33	28	20	27	10	22	24	34	26	5	32	11
k=1:	38	0	27	17	36	21	33	6	20	39	3	8	14	7	24	13	5	4	32	16	1	22	9	11	28	29	34	18	23	2	25	26	37	19	12	31	10	35	30	15
k=2:	1	14	11	36	38	3	29	17	24	37	7	5	39	19	33	28	32	22	13	31	18	15	16	34	6	20	0	4	25	12	35	10	26	2	30	23	8	21	9	27
k=3:	38	20	27	29	15	10	5	39	21	0	32	12	1	36	34	23	7	11	26	4	13	33	3	24	18	8	35	17	22	30	19	16	2	28	14	31	6	9	37	25
k=4:	21	17	31	6	16	11	10	30	20	3	18	5	34	33	15	9	14	28	22	13	32	25	4	36	27	37	24	38	39	23	19	1	12	8	26	2	0	29	35	7
k=5:	7	26	0	13	4	37	29	39	17	34	12	1	16	31	6	14	9	38	3	2	11	22	21	10	15	28	30	8	32	35	20	33	5	25	19	24	23	18	27	36
k=6:	12	2	32	30	21	5	20	26	25	6	35	4	24	7	23	36	27	31	28	1	38	37	8	14	3	16	22	39	11	0	15	29	33	9	19	17	18	13	10	34
k=7:	9	24	38	2	28	32	11	19	22	18	30	25	20	4	21	7	33	23	34	6	36	31	17	10	1	27	13	3	12	16	37	15	14	35	8	29	0	26	5	39
k=8:	2	32	22	25	10	14	9	34	12	4	3	27	38	24	20	21	23	18	13	29	6	37	1	36	19	8	30	39	31	5	28	7	33	15	11	26	16	0	35	17
k=9:	23	25	2	14	37	33	24	3	4	9	34	22	26	10	7	12	18	8	27	19	28	30	5	6	20	1	11	15	38	29	0	16	35	39	21	17	32	31	36	13
k=10:	26	31	7	36	16	34	14	21	39	38	12	2	28	30	13	32	35	24	3	10	8	4	22	19	20	18	29	0	23	1	11	6	9	15	27	17	5	25	33	37
k=11:	14	29	24	31	12	7	8	21	22	6	9	1	19	37	26	38	25	4	27	34	36	35	18	13	5	39	0	17	20	28	23	30	10	15	33	32	3	2	16	11
k=12:	20	26	22	14	36	33	29	35	23	5	39	19	34	21	24	10	13	30	0	11	8	6	15	38	17	9	18	16	32	25	37	28	1	3	4	12	2	7	27	31
k=13:	19	37	27	28	3	12	32	33	18	21	8	39	26	16	31	23	13	20	9	5	1	35	0	15	6	34	22	30	25	38	7	2	24	11	14	10	36	29	4	17
k=14:	33	34	26	4	10	15	39	27	32	11	20	14	2	9	12	17	24	1	28	23	29	16	6	37	3	0	35	31	13	21	18	8	5	22	7	25	36	30	19	38
k=15:	29	33	38	5	19	15	6	39	37	3	9	12	8	31	21	13	23	0	27	16	4	24	22	7	35	10	36	2	25	34	18	14	11	17	1	20	30	26	32	28
k=16:	2	32	14	24	18	20	15	7	35	11	34	30	36	4	3	0	23	25	1	5	21	29	33	27	28	22	6	26	37	38	10	31	9	17	8	12	19	39	16	13
