(NUMBER_COMPETITOR,I,J,K)	(8,20,20,30)
COMPETITORS	19	3	8	7	6	14	1	15
k=0:	3	15	13	9	12	6	7	8	0	4	18	17	19	16	10	11	14	2	1	5
k=1:	16	15	8	2	0	6	1	18	14	17	12	7	11	19	4	5	13	9	10	3
k=2:	15	7	3	2	10	6	1	11	14	16	0	19	12	4	13	8	18	17	9	5
k=3:	5	17	2	9	7	1	12	3	13	10	6	4	11	18	0	8	19	16	14	15
k=4:	0	17	11	18	13	2	10	15	9	5	1	7	4	12	16	6	14	8	19	3
k=5:	8	10	11	4	7	13	16	6	2	9	0	17	15	14	1	18	5	19	12	3
k=6:	2	5	7	18	8	1	6	13	19	10	0	17	3	15	11	12	14	4	9	16
k=7:	7	10	18	15	5	11	14	1	0	2	9	12	3	16	4	13	17	8	6	19
k=8:	7	11	15	14	0	12	19	13	2	3	1	10	9	16	8	5	18	17	6	4
k=9:	18	9	14	0	6	10	1	3	8	12	11	15	13	4	2	19	7	5	17	16
k=10:	17	7	3	1	4	11	6	2	8	18	15	0	10	13	12	14	19	5	9	16
k=11:	6	5	7	12	9	11	1	15	18	16	8	17	10	0	13	14	3	19	2	4
k=12:	12	14	6	13	3	19	10	5	17	9	8	16	1	4	0	2	7	18	15	11
k=13:	16	5	6	2	18	11	8	10	15	19	0	13	14	1	7	3	9	17	4	12
k=14:	15	14	1	5	6	8	7	17	11	18	9	2	12	3	16	10	13	4	0	19
k=15:	9	19	1	2	5	0	7	16	3	11	10	12	13	17	14	8	18	4	15	6
k=16:	11	8	7	12	6	2	10	17	9	1	4	13	18	14	3	5	19	0	16	15
k=17:	10	16	3	14	18	5	7	0	19	8	1	15	13	6	4	2	11	17	9	12
k=18:	1	3	0	19	11	8	15	6	7	12	4	5	18	2	13	17	14	9	10	16
k=19:	19	10	14	11	15	1	6	4	13	3	5	12	17	18	2	16	7	0	9	8
k=20:	18	13	16	2	10	3	5	7	17	12	15	1	11	4	9	19	14	8	6	0
k=21:	9	15	11	19	12	8	2	5	10	13	16	1	14	7	6	0	17	4	18	3
k=22:	0	9	8	1	11	5	19	17	15	13	2	4	16	14	7	10	3	12	6	18
k=23:	19	3	1	16	8	4	5	10	9	11	18	12	15	13	2	14	0	17	6	7
k=24:	16	13	3	4	15	7	18	12	8	10	17	9	19	2	14	0	6	1	11	5
k=25:	19	15	13	9	6	10	0	12	5	8	14	4	2	1	7	17	3	11	16	18
k=26:	8	2	5	18	15	6	4	11	17	0	14	3	13	1	12	10	9	19	16	7
k=27:	0	14	5	9	1	16	11	2	12	18	3	6	4	10	15	13	7	17	19	8
k=28:	18	0	2	19	4	17	11	14	1	13	15	6	8	7	9	10	16	3	12	5
k=29:	12	18	7	8	1	2	6	14	5	13	19	15	16	17	4	10	11	0	3	9
Lambda_0:	0.03773584905660377	0.050314465408805034	0.018867924528301886	0.031446540880503145	0.03773584905660377	0.025157232704402517	0.025157232704402517	0.018867924528301886	0.025157232704402517	0.018867924528301886	0.018867924528301886	0.031446540880503145	0.050314465408805034	0.018867924528301886	0.0440251572327044	0.025157232704402517	0.0440251572327044	0.031446540880503145	0.025157232704402517	0.031446540880503145	0.03773584905660377	0.03773584905660377	0.0440251572327044	0.012578616352201259	0.050314465408805034	0.025157232704402517	0.050314465408805034	0.0440251572327044	0.03773584905660377	0.050314465408805034
Lambda_1:	0.04861111111111111	0.027777777777777776	0.05555555555555555	0.013888888888888888	0.027777777777777776	0.013888888888888888	0.05555555555555555	0.020833333333333332	0.013888888888888888	0.04861111111111111	0.027777777777777776	0.013888888888888888	0.034722222222222224	0.034722222222222224	0.04861111111111111	0.027777777777777776	0.027777777777777776	0.013888888888888888	0.041666666666666664	0.041666666666666664	0.020833333333333332	0.020833333333333332	0.034722222222222224	0.034722222222222224	0.04861111111111111	0.05555555555555555	0.034722222222222224	0.020833333333333332	0.05555555555555555	0.034722222222222224
Lambda_2:	0.055944055944055944	0.013986013986013986	0.03496503496503497	0.02097902097902098	0.03496503496503497	0.03496503496503497	0.02097902097902098	0.03496503496503497	0.055944055944055944	0.02097902097902098	0.055944055944055944	0.03496503496503497	0.03496503496503497	0.02097902097902098	0.013986013986013986	0.055944055944055944	0.02097902097902098	0.04895104895104895	0.027972027972027972	0.027972027972027972	0.03496503496503497	0.013986013986013986	0.027972027972027972	0.027972027972027972	0.04195804195804196	0.03496503496503497	0.027972027972027972	0.04895104895104895	0.02097902097902098	0.04895104895104895
Lambda_3:	0.013422818791946308	0.020134228187919462	0.053691275167785234	0.026845637583892617	0.04697986577181208	0.04697986577181208	0.053691275167785234	0.053691275167785234	0.04697986577181208	0.03355704697986577	0.026845637583892617	0.053691275167785234	0.026845637583892617	0.013422818791946308	0.026845637583892617	0.013422818791946308	0.053691275167785234	0.026845637583892617	0.026845637583892617	0.013422818791946308	0.026845637583892617	0.040268456375838924	0.013422818791946308	0.03355704697986577	0.04697986577181208	0.040268456375838924	0.03355704697986577	0.026845637583892617	0.020134228187919462	0.040268456375838924
Lambda_4:	0.026143790849673203	0.0196078431372549	0.05228758169934641	0.0392156862745098	0.0196078431372549	0.0196078431372549	0.0196078431372549	0.0457516339869281	0.05228758169934641	0.026143790849673203	0.0392156862745098	0.013071895424836602	0.05228758169934641	0.05228758169934641	0.0457516339869281	0.026143790849673203	0.032679738562091505	0.013071895424836602	0.0457516339869281	0.0392156862745098	0.026143790849673203	0.05228758169934641	0.032679738562091505	0.013071895424836602	0.013071895424836602	0.05228758169934641	0.05228758169934641	0.013071895424836602	0.032679738562091505	0.032679738562091505
Lambda_5:	0.024390243902439025	0.04878048780487805	0.012195121951219513	0.03048780487804878	0.036585365853658534	0.042682926829268296	0.012195121951219513	0.012195121951219513	0.04878048780487805	0.036585365853658534	0.024390243902439025	0.042682926829268296	0.018292682926829267	0.042682926829268296	0.036585365853658534	0.036585365853658534	0.04878048780487805	0.04878048780487805	0.042682926829268296	0.03048780487804878	0.042682926829268296	0.03048780487804878	0.03048780487804878	0.012195121951219513	0.042682926829268296	0.03048780487804878	0.036585365853658534	0.036585365853658534	0.04878048780487805	0.012195121951219513
Lambda_6:	0.012738853503184714	0.050955414012738856	0.025477707006369428	0.012738853503184714	0.03184713375796178	0.025477707006369428	0.01910828025477707	0.03184713375796178	0.025477707006369428	0.050955414012738856	0.03821656050955414	0.050955414012738856	0.01910828025477707	0.03821656050955414	0.025477707006369428	0.044585987261146494	0.03821656050955414	0.044585987261146494	0.044585987261146494	0.03184713375796178	0.03821656050955414	0.025477707006369428	0.03184713375796178	0.044585987261146494	0.012738853503184714	0.050955414012738856	0.025477707006369428	0.03821656050955414	0.025477707006369428	0.044585987261146494
Lambda_7:	0.030303030303030304	0.04242424242424243	0.04242424242424243	0.030303030303030304	0.048484848484848485	0.012121212121212121	0.030303030303030304	0.01818181818181818	0.048484848484848485	0.03636363636363636	0.03636363636363636	0.030303030303030304	0.012121212121212121	0.04242424242424243	0.04242424242424243	0.03636363636363636	0.04242424242424243	0.048484848484848485	0.012121212121212121	0.012121212121212121	0.024242424242424242	0.024242424242424242	0.04242424242424243	0.048484848484848485	0.01818181818181818	0.024242424242424242	0.048484848484848485	0.04242424242424243	0.024242424242424242	0.048484848484848485
Lambda_8:	0.046052631578947366	0.039473684210526314	0.039473684210526314	0.05263157894736842	0.02631578947368421	0.046052631578947366	0.02631578947368421	0.046052631578947366	0.019736842105263157	0.05263157894736842	0.046052631578947366	0.02631578947368421	0.019736842105263157	0.019736842105263157	0.02631578947368421	0.05263157894736842	0.02631578947368421	0.02631578947368421	0.03289473684210526	0.039473684210526314	0.013157894736842105	0.013157894736842105	0.02631578947368421	0.03289473684210526	0.05263157894736842	0.05263157894736842	0.013157894736842105	0.019736842105263157	0.039473684210526314	0.02631578947368421
Lambda_9:	0.04895104895104895	0.04895104895104895	0.02097902097902098	0.027972027972027972	0.027972027972027972	0.03496503496503497	0.013986013986013986	0.013986013986013986	0.04195804195804196	0.04895104895104895	0.055944055944055944	0.03496503496503497	0.055944055944055944	0.04195804195804196	0.04195804195804196	0.04895104895104895	0.02097902097902098	0.02097902097902098	0.013986013986013986	0.04195804195804196	0.03496503496503497	0.055944055944055944	0.013986013986013986	0.04195804195804196	0.027972027972027972	0.013986013986013986	0.013986013986013986	0.04195804195804196	0.013986013986013986	0.03496503496503497
Lambda_10:	0.050955414012738856	0.025477707006369428	0.03821656050955414	0.01910828025477707	0.03184713375796178	0.044585987261146494	0.025477707006369428	0.01910828025477707	0.050955414012738856	0.050955414012738856	0.050955414012738856	0.050955414012738856	0.050955414012738856	0.012738853503184714	0.025477707006369428	0.03821656050955414	0.025477707006369428	0.050955414012738856	0.044585987261146494	0.025477707006369428	0.025477707006369428	0.03821656050955414	0.01910828025477707	0.044585987261146494	0.012738853503184714	0.025477707006369428	0.012738853503184714	0.012738853503184714	0.050955414012738856	0.025477707006369428
Lambda_11:	0.013605442176870748	0.05442176870748299	0.034013605442176874	0.034013605442176874	0.013605442176870748	0.013605442176870748	0.034013605442176874	0.027210884353741496	0.05442176870748299	0.02040816326530612	0.04081632653061224	0.02040816326530612	0.034013605442176874	0.047619047619047616	0.04081632653061224	0.04081632653061224	0.047619047619047616	0.027210884353741496	0.013605442176870748	0.047619047619047616	0.027210884353741496	0.047619047619047616	0.034013605442176874	0.047619047619047616	0.027210884353741496	0.034013605442176874	0.027210884353741496	0.05442176870748299	0.027210884353741496	0.013605442176870748
Lambda_12:	0.03597122302158273	0.02877697841726619	0.03597122302158273	0.02877697841726619	0.04316546762589928	0.014388489208633094	0.02877697841726619	0.02877697841726619	0.014388489208633094	0.04316546762589928	0.02877697841726619	0.04316546762589928	0.02877697841726619	0.02877697841726619	0.05755395683453238	0.050359712230215826	0.05755395683453238	0.02877697841726619	0.050359712230215826	0.014388489208633094	0.04316546762589928	0.014388489208633094	0.02158273381294964	0.03597122302158273	0.02877697841726619	0.050359712230215826	0.03597122302158273	0.014388489208633094	0.02158273381294964	0.04316546762589928
Lambda_13:	0.04794520547945205	0.03424657534246575	0.04794520547945205	0.0273972602739726	0.0547945205479452	0.0273972602739726	0.0273972602739726	0.0410958904109589	0.0136986301369863	0.0273972602739726	0.0273972602739726	0.0273972602739726	0.0273972602739726	0.0410958904109589	0.04794520547945205	0.02054794520547945	0.0410958904109589	0.02054794520547945	0.0410958904109589	0.0410958904109589	0.0547945205479452	0.0410958904109589	0.0136986301369863	0.0410958904109589	0.0547945205479452	0.0136986301369863	0.03424657534246575	0.0136986301369863	0.02054794520547945	0.0273972602739726
Lambda_14:	0.013986013986013986	0.02097902097902098	0.027972027972027972	0.013986013986013986	0.03496503496503497	0.04195804195804196	0.02097902097902098	0.03496503496503497	0.013986013986013986	0.013986013986013986	0.04195804195804196	0.027972027972027972	0.055944055944055944	0.027972027972027972	0.04195804195804196	0.027972027972027972	0.04195804195804196	0.04195804195804196	0.04895104895104895	0.055944055944055944	0.03496503496503497	0.027972027972027972	0.04895104895104895	0.027972027972027972	0.055944055944055944	0.02097902097902098	0.02097902097902098	0.04195804195804196	0.04195804195804196	0.027972027972027972
Lambda_15:	0.014285714285714285	0.02857142857142857	0.05	0.014285714285714285	0.05714285714285714	0.02857142857142857	0.05714285714285714	0.02142857142857143	0.014285714285714285	0.03571428571428571	0.02857142857142857	0.05	0.02857142857142857	0.04285714285714286	0.02142857142857143	0.02857142857142857	0.05714285714285714	0.014285714285714285	0.05	0.014285714285714285	0.02142857142857143	0.014285714285714285	0.05	0.02857142857142857	0.02142857142857143	0.04285714285714286	0.05	0.02142857142857143	0.03571428571428571	0.05714285714285714
Lambda_16:	0.01875	0.0375	0.04375	0.0375	0.03125	0.04375	0.01875	0.0375	0.0375	0.025	0.0125	0.04375	0.0375	0.05	0.05	0.03125	0.0375	0.025	0.01875	0.0375	0.04375	0.05	0.05	0.0125	0.03125	0.0125	0.0375	0.025	0.0375	0.025
Lambda_17:	0.015267175572519083	0.030534351145038167	0.04580152671755725	0.022900763358778626	0.030534351145038167	0.04580152671755725	0.03816793893129771	0.030534351145038167	0.05343511450381679	0.022900763358778626	0.061068702290076333	0.022900763358778626	0.015267175572519083	0.015267175572519083	0.022900763358778626	0.022900763358778626	0.05343511450381679	0.061068702290076333	0.022900763358778626	0.04580152671755725	0.061068702290076333	0.04580152671755725	0.015267175572519083	0.015267175572519083	0.030534351145038167	0.015267175572519083	0.022900763358778626	0.030534351145038167	0.05343511450381679	0.030534351145038167
